Carimbo de data/hora,Qual sua faixa etária?,Qual sua situação profissional?,Qual sua renda mensal aproximada?,Você costuma controlar seus gastos mensais?,Como você controla seus gastos?,Com que frequência você registra seus gastos?,Você costuma ultrapassar seu orçamento mensal?  ,Você costuma planejar seus gastos antes de receber seu dinheiro?,Você possui uma reserva de emergência?,Faz algum tipo de investimento?,"Se sim, qual?",Você considera que possui educação financeira suficiente?,Você tem interesse em aprender mais sobre educação financeira?,Você já fez algum curso ou consumiu conteúdo sobre finanças?  ,Onde você costuma buscar informações sobre finanças?  (marque todas que se aplicam),Você teve algum tipo de educação financeira na escola?,"Se sim, o quão eficiente você sentiu que foram essas aulas? (não responda caso não tenha tido aulas)",Sente falta de um conhecimento financeiro mais amplo no dia a dia?,Você acredita que ferramentas digitais podem melhorar sua educação financeira?,"Você entende conceitos básicos de finanças (ex: juros, orçamento, dívida, imposto de renda, inadimplência)",Qual desses temas você considera mais difícil?  (marque todas que se aplicam)    ,O que mais dificulta seu aprendizado sobre finanças?,Você já utilizou algum aplicativo de controle financeiro?,"Se sim, qual foi sua experiência?  (não responda caso não tenha tido experiência)",O que você mais gostaria de ver em um sistema de controle financeiro?,Qual formato você prefere para aprender sobre finanças?  (marque todas que se aplicam),Qual sua maior dificuldade em relação ao dinheiro?  (marque todas que se aplicam),Você acha que um dashboard simples ajudaria no controle financeiro?,Que tipo de ajuda você considera mais útil?,"Atualmente, você se encontra em situação de inadimplência (com contas ou dívidas em atraso)?",Quais tipos de pendências financeira você possui atualmente? (marque todas que se aplicam),Com que frequência você enfrenta dificuldades para pagar suas contas no prazo?  ,"Você teria interesse em usar um app/site de controle financeiro que, além de organizar seus gastos, também ofereça conteúdos e orientações para melhorar sua educação financeira?  "
05/05/2026 19:43:54,18 a 24 anos,Estudante,Não possuo renda fixa,Não,Não controlo,Não registro,Não tenho orçamento mensal,"Não possuo renda fixa, portanto não planejo",Não,Não,,2,Sim,Não,"Youtube, Redes Sociais",Sim,2,Sim,Sim,Muito pouco,"Investimentos, Planejamento financeiro, Dívidas",,Não,,Acesso a dicas e educação financeira,"Vídeos, Aplicativos, Cursos online",Entender finanças,Talvez,Conteúdos educativos,Não,Não possuo pendências,Nunca,Sim
05/05/2026 19:57:02,18 a 24 anos,Estudante,Até 1 salário mínimo,Não,Não controlo,Raramente,Nunca,Raramente,Sim,Sim,no Banco do Brasil mesmo ,3,Sim,Não,Não busco informações,Sim,1,Sim,Sim,Muito pouco,Investimentos,Falta de interesse no assunto ,Não,,,"Aplicativos, Redes sociais",Economizar,Sim,Gráficos e visualização de gastos,Não,Não possuo pendências,Nunca,Sim
05/05/2026 19:58:12,18 a 24 anos,Estagiário,1 a 2 salários mínimos,Sim,Planilhas,Raramente,Raramente,Às vezes,Sim,Sim,Açoes e renda passiva,4,Sim,Sim,"Youtube, Redes Sociais",Não,2,Parcialmente,Sim,"Sim, bem","Investimentos, Juros",,Não,,,"Vídeos, Redes sociais","Controlar gastos, Entender finanças",Sim,Alertas de limite,Não,Não possuo pendências,Nunca,Talvez
05/05/2026 20:01:01,18 a 24 anos,Estagiário,1 a 2 salários mínimos,Não,Não controlo,Não registro,Nunca,Às vezes,Estou construindo,Sim,"ouro,bitcoin, eth e solana",4,Sim,Não,"Youtube, Redes Sociais",Não,1,Sim,Sim,Parcialmente,Juros,,Não,,,"Vídeos, Aplicativos","Controlar gastos, Economizar",Sim,Gráficos e visualização de gastos,Não,Não possuo pendências,Não pago contas,Sim
05/05/2026 20:01:32,18 a 24 anos,Estagiário,1 a 2 salários mínimos,Às vezes,Planilhas,Raramente,Frequentemente,Raramente,Não,Não,,3,Talvez,Não,"Youtube, Redes Sociais",Sim,3,Sim,Talvez,"Sim, bem","Planejamento financeiro, Dívidas, Juros",,Não,,,Vídeos,"Controlar gastos, Planejar o mês",Não,Alertas de limite,Não,"Cartão de crédito, Empréstimos pessoais",Nunca,Talvez
05/05/2026 20:02:25,18 a 24 anos,Estudante,Não possuo renda fixa,Sim,Aplicativos,Semanalmente,Raramente,Possuo renda mas não planejo,Estou construindo,Não,,1,Sim,Não,Redes Sociais,Não,2,Sim,Sim,Parcialmente,Investimentos,,Não,,,Vídeos,Entender finanças,Talvez,Gráficos e visualização de gastos,Não,Não possuo pendências,Não pago contas,Sim
05/05/2026 20:03:22,18 a 24 anos,Estagiário,Até 1 salário mínimo,Às vezes,Anotações (caderno/bloco de notas),Raramente,Frequentemente,Às vezes,Não,Não,,3,Sim,Sim,Youtube,Não,1,Sim,Sim,Parcialmente,"Planejamento financeiro, Juros",Buscar mais conhecimento,Não,,Consegui importa o extrato do banco e jogar no sistema e preencher automático,"Vídeos, Aplicativos, Redes sociais","Controlar gastos, Economizar",Sim,Alertas de limite,Não,Não possuo pendências,Nunca,Sim
05/05/2026 20:03:47,18 a 24 anos,Estudante,Até 1 salário mínimo,Sim,Anotações (caderno/bloco de notas),Semanalmente,Frequentemente,"Não possuo renda fixa, portanto não planejo",Sim,Sim,"CDB, tesouro direto, LCI/LCA e algumas ações ",3,Sim,Sim,"Youtube, Redes Sociais",Sim,2,Sim,Sim,"Sim, bem","Investimentos, Planejamento financeiro","falta de conteúdo centralizado e acessível e democrático. Acaba que uma informação está diluída em vários vídeos para reter atenção, aí depois quer vender curso ou plataforma.  Isso desistimula a assistir, pois toda hora alguém quer vender alguma coisa",Sim,2,ter a possibilidade de escolher como os meus dados são tratados e não serem usados por IA,"Vídeos, Cursos online, Artigos","Planejar o mês, Entender finanças",Sim,Gráficos e visualização de gastos,Não,Não possuo pendências,Nunca,Sim
05/05/2026 20:04:18,18 a 24 anos,Estudante,Até 1 salário mínimo,Sim,Aplicativos,Semanalmente,Nunca,Raramente,Sim,Não,,2,Sim,Sim,Não busco informações,Não,1,Sim,Sim,Muito pouco,"Controle de gastos, Investimentos, Dívidas, Juros","Falta de informação rápida, direta e simplificada. Além de fontes confiáveis ",Não,,,"Vídeos, Aplicativos","Controlar gastos, Economizar, Planejar o mês, Entender finanças",Talvez,Conteúdos educativos,Não,Não possuo pendências,Nunca,Sim
05/05/2026 20:06:41,18 a 24 anos,Estudante,Não possuo renda fixa,Sim,Anotações (caderno/bloco de notas),Semanalmente,Às vezes,Raramente,Não,Não,,4,Sim,Não,Não busco informações,Sim,1,Sim,Sim,Muito pouco,"Investimentos, Planejamento financeiro, Juros",Conceitos muito complicados e a necessidade de estudar e entender diversos métodos diferentes para investimentos.,Não,,"Dicas de como lidar com dividas, como evitar dividas. Um agente que me aconselhe sobre possíveis investimentos e que me dê opiniões relevantes sobre gastos e onde deixar meu dinheiro.","Vídeos, Redes sociais","Controlar gastos, Entender finanças",Sim,Gráficos e visualização de gastos,Não,Cartão de crédito,Às vezes,Sim
05/05/2026 20:07:38,18 a 24 anos,Autônomo / Freelancer,1 a 2 salários mínimos,Não,Não controlo,Não registro,Nunca,Sempre,Não,Não,,3,Talvez,Sim,"Youtube, Redes Sociais",Sim,4,Sim,Sim,"Sim, bem",Dívidas,,Não,,registro de gastos de forma prática ,"Vídeos, Aplicativos, Cursos online, Redes sociais",Economizar,Talvez,Gráficos e visualização de gastos,Não,Não possuo pendências,Às vezes,Sim
05/05/2026 20:10:12,18 a 24 anos,Estudante,Não possuo renda fixa,Sim,Anotações (caderno/bloco de notas),Raramente,Raramente,Sempre,Estou construindo,Sim,,2,Sim,Não,Bancos,Não,3,Parcialmente,Sim,Parcialmente,"Investimentos, Planejamento financeiro, Dívidas",Pouca base ,Não,,,"Aplicativos, Artigos",Entender finanças,Sim,Gráficos e visualização de gastos,Não,Não possuo pendências,Não pago contas,Sim
05/05/2026 20:10:28,18 a 24 anos,Estagiário,1 a 2 salários mínimos,Às vezes,Não controlo,Raramente,Raramente,Raramente,Sim,Sim,"Selic, CDB e ações ",3,Sim,Sim,"Youtube, Redes Sociais",Sim,2,Não,Sim,"Sim, bem",Investimentos,Tempo,Não,,,Vídeos,Investimentos,Talvez,Gráficos e visualização de gastos,Não,Não possuo pendências,Nunca,Talvez
05/05/2026 20:18:07,35 a 44 anos,Autônomo / Freelancer,Mais de 5 salários mínimos,Sim,Planilhas,Semanalmente,Às vezes,Sempre,Sim,Sim,Investimento em imóveis ,4,Talvez,Sim,Cursos Online,Não,3,Sim,Sim,Parcialmente,Juros,Informações controversas ,Não,,Efetividade ,Artigos,Entender finanças,Talvez,Gráficos e visualização de gastos,Não,Não possuo pendências,Raramente,Talvez
05/05/2026 20:18:26,Menos de 18 anos,Estudante,Não possuo renda fixa,Não,Não controlo,Raramente,Não tenho orçamento mensal,"Não possuo renda fixa, portanto não planejo",Não,Não,,2,Sim,Sim,"Youtube, Redes Sociais",Sim,3,Sim,Sim,Parcialmente,"Investimentos, Planejamento financeiro, Juros",Falta de oportunidades,Não,,,"Vídeos, Aplicativos, Redes sociais","Controlar gastos, Entender finanças",Sim,Conteúdos educativos,Não,Não possuo pendências,Não pago contas,Sim
05/05/2026 20:20:09,18 a 24 anos,Estagiário,Até 1 salário mínimo,Às vezes,na cabeça ,Raramente,Às vezes,Às vezes,Estou construindo,Sim,"dupla chance al hilal kkkkk, brincadeira, invisto em ouro",4,Sim,Sim,"Youtube, Redes Sociais, Cursos Online",Sim,2,Parcialmente,Sim,"Sim, bem",Controle de gastos,"vergonha na cara, confesso que tenho preguiça ",Não,,planilhas de gastos,"Vídeos, Aplicativos, Cursos online","Controlar gastos, Economizar",Sim,Gráficos e visualização de gastos,Não,Não possuo pendências,Raramente,Sim
05/05/2026 20:20:23,18 a 24 anos,Estagiário,Não possuo renda fixa,Não,Não controlo,Raramente,Às vezes,Raramente,Sim,Não,,3,Sim,Não,Redes Sociais,Não,1,Parcialmente,Sim,Muito pouco,Investimentos,,Não,,,Vídeos,Economizar,Sim,Gráficos e visualização de gastos,Não,Não possuo pendências,Raramente,Sim
05/05/2026 20:21:48,25 a 34 anos,Desempregado,Não possuo renda fixa,Não,Não controlo,Raramente,Às vezes,"Não possuo renda fixa, portanto não planejo",Sim,Sim,CDB,4,Talvez,Não,Não busco informações,Não,1,Sim,Sim,Parcialmente,"Investimentos, Juros",,Não,,,"Vídeos, Artigos","Economizar, Entender finanças",Não sei o que é dashboard,Gráficos e visualização de gastos,Não,Não possuo pendências,Nunca,Talvez
05/05/2026 20:23:51,18 a 24 anos,Empregado (CLT),Até 1 salário mínimo,Às vezes,Planilhas,Semanalmente,Às vezes,Às vezes,Estou construindo,Não,,3,Sim,Não,"Youtube, Redes Sociais",Sim,1,Sim,Sim,Parcialmente,Investimentos,Explicações que priorizam uma linguagem muito técnica,Não,,"Um visual limpo e rápido de entender, juntamente com um resumo semanal e mensal",Aplicativos,"Controlar gastos, Economizar",Sim,Planejamento automático,Não,Não possuo pendências,Raramente,Sim
05/05/2026 20:27:18,18 a 24 anos,Estudante,Até 1 salário mínimo,Às vezes,Anotações (caderno/bloco de notas),Semanalmente,Raramente,Às vezes,Sim,Sim,,4,Sim,Sim,"Youtube, Bancos, Redes Sociais, Cursos Online",Sim,4,Sim,Sim,"Sim, bem",Investimentos,,Não,,,"Vídeos, Aplicativos, Cursos online",Planejar o mês,Talvez,Planejamento automático,Não,Não possuo pendências,Raramente,Sim
05/05/2026 20:28:57,18 a 24 anos,Estudante,Não possuo renda fixa,Não,Não controlo,Não registro,Às vezes,"Não possuo renda fixa, portanto não planejo",Sim,Não,,4,Talvez,Sim,Não busco informações,Sim,4,Sim,Sim,"Sim, bem",Investimentos,preguiça ,Não,,informação,Redes sociais,Economizar,Sim,Alertas de limite,Não,Não possuo pendências,Não pago contas,Talvez
05/05/2026 20:33:17,18 a 24 anos,Estagiário,1 a 2 salários mínimos,Não,Não controlo,Não registro,Nunca,Possuo renda mas não planejo,Sim,Sim,Fundos e renda fixa,2,Sim,Não,"Redes Sociais, Não busco informações",Não,3,Parcialmente,Sim,Parcialmente,"Investimentos, Juros",Falta de tempo,Não,,,"Vídeos, Redes sociais",Entender finanças,Sim,Conteúdos educativos,Não,Não possuo pendências,Não pago contas,Talvez
05/05/2026 20:34:38,18 a 24 anos,Estagiário,Até 1 salário mínimo,Sim,Anotações (caderno/bloco de notas),Semanalmente,Raramente,Sempre,Estou construindo,Sim,CDI pos fixado,3,Sim,Não,"Youtube, Bancos, Redes Sociais",Sim,3,Sim,Sim,Parcialmente,"Investimentos, Juros",Falta de tempo pra aprender ,Não,,,"Vídeos, Aplicativos, Cursos online, Redes sociais",Entender finanças,Sim,Planejamento automático,Não,Não possuo pendências,Às vezes,Sim
05/05/2026 20:44:38,18 a 24 anos,Estudante,Até 1 salário mínimo,Sim,Anotações (caderno/bloco de notas),Semanalmente,Às vezes,Raramente,Sim,Sim,"Poupança, Bitcoin",5,Sim,Sim,"Youtube, Bancos, Redes Sociais",Sim,5,Parcialmente,Sim,"Sim, bem",Dívidas,Aplicação ,Não,,Explicação na prática ,"Vídeos, Aplicativos, Cursos online, Artigos, Redes sociais",Planejar o mês,Sim,Gráficos e visualização de gastos,Não,"Contas básicas (águas, luz, internet)",Nunca,Sim
05/05/2026 20:46:59,18 a 24 anos,Estudante,Não possuo renda fixa,Às vezes,Anotações (caderno/bloco de notas),Semanalmente,Raramente,"Não possuo renda fixa, portanto não planejo",Não,Não,,3,Sim,Não,"Youtube, Redes Sociais",Sim,2,Sim,Sim,Muito pouco,"Investimentos, Dívidas, Juros",,Não,,,"Vídeos, Aplicativos, Redes sociais",Entender finanças,Não sei o que é dashboard,Conteúdos educativos,Não,Não possuo pendências,Nunca,Sim
05/05/2026 20:50:47,18 a 24 anos,Estudante,Não possuo renda fixa,Às vezes,Anotações (caderno/bloco de notas),Raramente,Raramente,"Não possuo renda fixa, portanto não planejo",Sim,Não,,4,Sim,Sim,"Youtube, Redes Sociais",Não,3,Sim,Sim,"Sim, bem","Planejamento financeiro, Juros",,Não,,,"Aplicativos, Redes sociais",Economizar,Sim,Gráficos e visualização de gastos,Não,Não possuo pendências,Não pago contas,Sim
05/05/2026 20:56:23,18 a 24 anos,Estudante,Não possuo renda fixa,Não,Não controlo,Não registro,Nunca,Às vezes,Sim,Sim,reserva de emergência em CDB e Tesouro Direito (os mais seguros só pela falta de renda no momento),4,Sim,Sim,"Youtube, Bancos, Redes Sociais, Cursos Online",Sim,2,Sim,Sim,Parcialmente,"Controle de gastos, Dívidas, Juros",,Sim,2,automatização com gastos feitos pelo telefone usando a carteira,"Vídeos, Aplicativos, Cursos online, Artigos",Controlar gastos,Talvez,Planejamento automático,Não,Não possuo pendências,Não pago contas,Sim
05/05/2026 21:04:32,45 ou mais,Autônomo / Freelancer,Mais de 5 salários mínimos,Sim,Anotações (caderno/bloco de notas),Raramente,Não tenho orçamento mensal,"Não possuo renda fixa, portanto não planejo",Sim,Sim,Fundos de investimento ,4,Sim,Não,Bancos,Não,2,Sim,Sim,"Sim, bem",Investimentos,,Não,2,,"Vídeos, Cursos online, Artigos",Economizar,Sim,Conteúdos educativos,Não,Não possuo pendências,Raramente,Sim
05/05/2026 21:06:43,18 a 24 anos,Estudante,1 a 2 salários mínimos,Sim,Anotações (caderno/bloco de notas),Semanalmente,Raramente,Às vezes,Estou construindo,Sim,Renda fixa,3,Talvez,Não,Não busco informações,Sim,2,Parcialmente,Sim,Parcialmente,Investimentos,,Não,,,"Vídeos, Aplicativos, Redes sociais",Economizar,Sim,Alertas de limite,Não,Não possuo pendências,Não pago contas,Talvez
05/05/2026 21:07:13,18 a 24 anos,Estudante,Não possuo renda fixa,Sim,Planilhas,Semanalmente,Às vezes,"Não possuo renda fixa, portanto não planejo",Estou construindo,Não,,3,Sim,Sim,"Youtube, Bancos, Redes Sociais, Cursos Online",Sim,1,Sim,Sim,Parcialmente,"Investimentos, Juros",,Sim,2,,"Vídeos, Aplicativos, Cursos online, Redes sociais","Controlar gastos, Planejar o mês, Entender finanças",Talvez,Gráficos e visualização de gastos,Não,Não possuo pendências,Às vezes,Sim
05/05/2026 21:40:58,45 ou mais,Autônomo / Freelancer,2 a 5 salários mínimos,Sim,De cabeça,Não registro,Nunca,"Não possuo renda fixa, portanto não planejo",Sim,Não,,1,Sim,Não,Redes Sociais,Não,,Sim,Sim,Muito pouco,Investimentos,,Não,,,Aplicativos,"Planejar o mês, Entender finanças",Não sei o que é dashboard,Planejamento automático,Não,Não possuo pendências,Às vezes,Sim
05/05/2026 21:49:11,18 a 24 anos,Estudante,Não possuo renda fixa,Sim,Aplicativos,Raramente,Nunca,Possuo renda mas não planejo,Sim,Sim,,3,Talvez,Sim,"Youtube, Bancos, Redes Sociais",Sim,2,Sim,Sim,Parcialmente,Investimentos,,Não,,,"Vídeos, Aplicativos, Redes sociais","Planejar o mês, Entender finanças",Sim,Gráficos e visualização de gastos,Não,Não possuo pendências,Não pago contas,Talvez
