Carimbo de data/hora,Qual sua faixa etária?,Qual sua situação profissional?,Qual sua renda mensal aproximada?,Você costuma controlar seus gastos mensais?,Como você controla seus gastos?,Com que frequência você registra seus gastos?,Você costuma ultrapassar seu orçamento mensal?  ,Você costuma planejar seus gastos antes de receber seu dinheiro?,Você possui uma reserva de emergência?,Faz algum tipo de investimento?,"Se sim, qual?",Você considera que possui educação financeira suficiente?,Você tem interesse em aprender mais sobre educação financeira?,Você já fez algum curso ou consumiu conteúdo sobre finanças?  ,Onde você costuma buscar informações sobre finanças?  (marque todas que se aplicam),Você teve algum tipo de educação financeira na escola?,"Se sim, o quão eficiente você sentiu que foram essas aulas? (não responda caso não tenha tido aulas)",Sente falta de um conhecimento financeiro mais amplo no dia a dia?,Você acredita que ferramentas digitais podem melhorar sua educação financeira?,"Você entende conceitos básicos de finanças (ex: juros, orçamento, dívida, imposto de renda, inadimplência)",Qual desses temas você considera mais difícil?  (marque todas que se aplicam)    ,O que mais dificulta seu aprendizado sobre finanças?,Você já utilizou algum aplicativo de controle financeiro?,"Se sim, qual foi sua experiência?  (não responda caso não tenha tido experiência)",O que você mais gostaria de ver em um sistema de controle financeiro?,Qual formato você prefere para aprender sobre finanças?  (marque todas que se aplicam),Qual sua maior dificuldade em relação ao dinheiro?  (marque todas que se aplicam),Você acha que um dashboard simples ajudaria no controle financeiro?,Que tipo de ajuda você considera mais útil?,"Atualmente, você se encontra em situação de inadimplência (com contas ou dívidas em atraso)?",Quais tipos de pendências financeira você possui atualmente? (marque todas que se aplicam),Com que frequência você enfrenta dificuldades para pagar suas contas no prazo?  ,"Você teria interesse em usar um app/site de controle financeiro que, além de organizar seus gastos, também ofereça conteúdos e orientações para melhorar sua educação financeira?  "
05/05/2026 22:11:51,Menos de 18 anos,Estudante,Não possuo renda fixa,Às vezes,Anotações (caderno/bloco de notas),Raramente,Às vezes,Raramente,Não,Não,,2,Talvez,Não,Não busco informações,Sim,3,Parcialmente,Sim,Muito pouco,"Investimentos, Planejamento financeiro, ",,Não,,Dicas de investimento ,"Vídeos, Aplicativos, Redes sociais",Entender finanças,Não sei o que é dashboard,Planejamento automático,Não,Não possuo pendências,Não pago contas,Sim
05/05/2026 22:12:58,18 a 24 anos,Estudante,Até 1 salário mínimo,Às vezes,Planilhas,Raramente,Frequentemente,Possuo renda mas não planejo,Não,Não,,2,Sim,Não,"Youtube, Redes Sociais",Não,,Sim,Sim,Parcialmente,"Controle de gastos, Investimentos, Planejamento financeiro","O pouco contanto com o dinheiro e ações que façam eu ter de me aproximar mais de tal, por conta da idade. Porém daqui poucos anos essa falta de aprendizado fará falta. ",Não,,Aonde que vão os meus gastos ,"Vídeos, Aplicativos, Cursos online","Controlar gastos, Entender finanças",Sim,Gráficos e visualização de gastos,Não,Cartão de crédito,Nunca,Sim
05/05/2026 22:19:41,18 a 24 anos,Empregado (CLT),2 a 5 salários mínimos,Sim,De cabeça mesmo,Diariamente,Raramente,Sempre,Sim,Sim,Renda fixa,4,Talvez,Sim,"Youtube, Bancos, Redes Sociais, Cursos Online",Sim,3,Parcialmente,Sim,"Sim, bem","Investimentos, Juros",.,Não,,Metados que eu não conseguiria achar ou pensar sem ser utilizado a plataforma.,"Aplicativos, Cursos online, Artigos, Livros que falem sobre a doutrina.",.,Talvez,Gráficos e visualização de gastos,Não,Não possuo pendências,Nunca,Sim
05/05/2026 22:24:12,18 a 24 anos,Empresário ,1 a 2 salários mínimos,Sim,Aplicativos,Semanalmente,Frequentemente,Às vezes,Estou construindo,Não,,3,Sim,Não,"Youtube, Redes Sociais",Não,,Sim,Sim,"Sim, bem",Investimentos,Tenho dificuldade em entender os tipos de investimento e o receio de realizar escolhas equivocadas.,Sim,3,"Facilidade, personalização.","Vídeos, Aplicativos, Redes sociais","Controlar gastos, Economizar, Planejar o mês",Sim,Alertas de limite,Não,"Cartão de crédito, Financiamentos (carros, casa, etc.)",Às vezes,Sim
05/05/2026 22:29:49,18 a 24 anos,Estagiário,Até 1 salário mínimo,Às vezes,Não controlo,Raramente,Nunca,Raramente,Sim,Sim,Caixinha do nubank,3,Sim,Sim,"Youtube, Redes Sociais",Sim,2,Sim,Sim,Parcialmente,"Investimentos, Juros",,Não,,Como controlar gastos,"Vídeos, Aplicativos","Controlar gastos, Planejar o mês",Sim,Gráficos e visualização de gastos,Não,Não possuo pendências,Raramente,Sim
05/05/2026 22:31:57,18 a 24 anos,Estudante,Não possuo renda fixa,Sim,Anotações (caderno/bloco de notas),Semanalmente,Às vezes,Sempre,Estou construindo,Não,,3,Talvez,Não,Não busco informações,Sim,2,Sim,Sim,Parcialmente,Investimentos,,Não,,,Vídeos,Economizar,Sim,Gráficos e visualização de gastos,Não,Não possuo pendências,Nunca,Não
05/05/2026 22:39:50,45 ou mais,Empregado (CLT),Mais de 5 salários mínimos,Às vezes,Não controlo,Não registro,Raramente,Às vezes,Sim,Sim,Cdb,3,Sim,Sim,Redes Sociais,Não,,Sim,Sim,"Sim, bem","Investimentos, Planejamento financeiro",Tempo,Não,,,"Vídeos, Aplicativos, Cursos online","Planejar o mês, Entender finanças",Talvez,Alertas de limite,Não,Não possuo pendências,Nunca,Talvez
05/05/2026 23:54:33,18 a 24 anos,Autônomo / Freelancer,1 a 2 salários mínimos,Às vezes,Anotações (caderno/bloco de notas),Raramente,Às vezes,Raramente,Sim,Não,,3,Sim,Não,Não busco informações,Não,,Sim,Sim,"Sim, bem","Controle de gastos, Investimentos, Planejamento financeiro",,Não,,,"Vídeos, Aplicativos, Redes sociais","Controlar gastos, Economizar, Entender finanças",Não sei o que é dashboard,Conteúdos educativos,Não,Não possuo pendências,Nunca,Sim
06/05/2026 07:19:38,18 a 24 anos,Estagiário,2 a 5 salários mínimos,Sim,Planilhas,Diariamente,Raramente,Às vezes,Estou construindo,Sim,,3,Sim,Sim,"Youtube, Redes Sociais",Sim,1,Parcialmente,Sim,Parcialmente,"Investimentos, Imposto",,Sim,4,Gráfico com saídas e entradas ,"Vídeos, Redes sociais","Controlar gastos, Entender finanças",Sim,Gráficos e visualização de gastos,Não,Não possuo pendências,Nunca,Sim
06/05/2026 07:37:18,18 a 24 anos,Estudante,Não possuo renda fixa,Às vezes,Aplicativos,Não registro,Às vezes,"Não possuo renda fixa, portanto não planejo",Não,Sim,,3,Sim,Não,Não busco informações,Não,,Sim,Sim,Parcialmente,"Controle de gastos, Planejamento financeiro, Juros",,Não,,,"Vídeos, Aplicativos","Economizar, Planejar o mês, Entender finanças",Não sei o que é dashboard,Planejamento automático,Não,Não possuo pendências,Nunca,Sim
06/05/2026 08:02:03,18 a 24 anos,Empregado (CLT),1 a 2 salários mínimos,Sim,Planilhas,Raramente,Raramente,Sempre,Estou construindo,Não,,3,Sim,Sim,Youtube,Não,,Sim,Sim,Parcialmente,Investimentos,"Conteúdo assertivo. Há muito Conteúdo na Internet, mas muitas vezes não é fácil achar sobre minha situação atual. Algo mais personalizado podemos dizer, mas não necessariamente contratando um consultor financeiro .",Não,,"Graficos, dicas diarias, inspirações de quem manja do assunto e notificações lembretes.","Aplicativos, Artigos","Economizar, Planejar o mês",Sim,Alertas de limite,Não,Não possuo pendências,Raramente,Sim
06/05/2026 08:04:37,18 a 24 anos,Estudante,Não possuo renda fixa,Sim,De cabeça ,Não registro,Raramente,"Não possuo renda fixa, portanto não planejo",Não,Não,,2,Sim,Sim,"Youtube, Redes Sociais, Cursos Online",Não,,Sim,Talvez,Parcialmente,Investimentos,,Não,,,"Vídeos, Cursos online, Redes sociais",Ganhar,Talvez,Planejamento automático,Prefiro não responder,Não possuo pendências,Nunca,Sim
06/05/2026 08:08:08,18 a 24 anos,Estudante,Não possuo renda fixa,Às vezes,Aplicativos,Não registro,Não tenho orçamento mensal,"Não possuo renda fixa, portanto não planejo",Não,Não,Não. ,4,Sim,Sim,"Bancos, Redes Sociais",Sim,3,Sim,Sim,"Sim, bem","Investimentos, Juros",A falta de uma renda para colocar em prática. ,Sim,3,"Projeção dos meus investimentos antes de investir e após investir, caixinhas para fazer poupanças, definições de orçamentos para cada mês. ","Vídeos, Artigos, Redes sociais","Controlar gastos, Planejar o mês, Entender finanças",Sim,Gráficos e visualização de gastos,Não,Não possuo pendências,Às vezes,Talvez
06/05/2026 08:11:35,18 a 24 anos,Estudante,Não possuo renda fixa,Sim,Anotações (caderno/bloco de notas),Raramente,Raramente,Às vezes,Sim,Sim,"Porquinho, no inter ",3,Sim,Não,Não busco informações,Sim,2,Não,Sim,Parcialmente,"Investimentos, Juros",,Não,,,"Vídeos, Aplicativos, Cursos online, Artigos, Redes sociais",Controlar gastos,Sim,Alertas de limite,Não,Não possuo pendências,Não pago contas,Sim
06/05/2026 08:36:37,18 a 24 anos,Estagiário,Até 1 salário mínimo,Não,Não controlo,Não registro,Raramente,Possuo renda mas não planejo,Não,Não,,2,Sim,Não,Não busco informações,Não,,Sim,Sim,Muito pouco,"Investimentos, Planejamento financeiro",,Não,,Acho q graficos q mostrem onde mais foi gasto o dinheiro no mês.,"Vídeos, Aplicativos",Controlar gastos,Sim,Gráficos e visualização de gastos,Não,Não possuo pendências,Nunca,Sim
06/05/2026 08:38:06,18 a 24 anos,Empregado sem vinculo empregativo,1 a 2 salários mínimos,Não,Não controlo,Raramente,Raramente,Raramente,Não,Não,,2,Sim,Não,"Youtube, Bancos, Redes Sociais",Sim,1,Sim,Sim,Parcialmente,"Controle de gastos, Planejamento financeiro, Juros",,Não,,,Aplicativos,"Controlar gastos, Economizar",Sim,Gráficos e visualização de gastos,Não,Não possuo pendências,Raramente,Sim
06/05/2026 08:40:58,18 a 24 anos,Estudante,Até 1 salário mínimo,Sim,Anotações (caderno/bloco de notas),Raramente,Raramente,Às vezes,Sim,Sim,Em dolar e em renda variavel,4,Sim,Sim,Youtube,Não,,Parcialmente,Sim,Parcialmente,Investimentos,,Sim,2,Sistema adaptável para cada pessoa,"Vídeos, Aplicativos",Entender finanças,Talvez,Conteúdos educativos,Não,Não possuo pendências,Nunca,Sim
06/05/2026 08:50:27,18 a 24 anos,Autônomo / Freelancer,Não possuo renda fixa,Sim,Não controlo,Raramente,Não tenho orçamento mensal,"Não possuo renda fixa, portanto não planejo",Estou construindo,Não,,3,Sim,Sim,"Youtube, Cursos Online",Sim,2,Parcialmente,Sim,Parcialmente,"Investimentos, Planejamento financeiro",Ter tempo para se dedicar,Não,,,Vídeos,Entender finanças,Talvez,Conteúdos educativos,Não,Não possuo pendências,Nunca,Sim
06/05/2026 09:00:34,18 a 24 anos,Estudante,Até 1 salário mínimo,Sim,Anotações (caderno/bloco de notas),Raramente,Às vezes,Às vezes,Sim,Sim,Tesouro direto e outros ,3,Sim,Não,"Youtube, Bancos, Redes Sociais",Sim,1,Parcialmente,Sim,Parcialmente,Investimentos,,Não,,,Aplicativos,Controlar gastos,Sim,Gráficos e visualização de gastos,Não,Empréstimos pessoais,Raramente,Talvez
06/05/2026 09:05:43,25 a 34 anos,Desempregado,Até 1 salário mínimo,Não,Não controlo,Raramente,Nunca,"Não possuo renda fixa, portanto não planejo",Estou construindo,Sim,"LCI, CDB, os que o banco oferece ",4,Sim,Não,"Youtube, Bancos",Não,,Sim,Sim,Muito pouco,tudo. ,Disciplina,Não,,,"Vídeos, Aplicativos, Cursos online",ter a noção do valor do dinheiro. ,Talvez,Planejamento automático,Não,Não possuo pendências,Nunca,Talvez
06/05/2026 09:09:54,18 a 24 anos,Estudante,Até 1 salário mínimo,Sim,Planilhas,Semanalmente,Nunca,Às vezes,Sim,Não,,3,Sim,Sim,Youtube,Não,,Não,Sim,Parcialmente,"Planejamento financeiro, Juros",,Não,,,"Vídeos, Artigos",Economizar,Sim,Gráficos e visualização de gastos,Não,Não possuo pendências,Não pago contas,Não
06/05/2026 09:31:27,18 a 24 anos,Estagiário,1 a 2 salários mínimos,Não,Não controlo,Não registro,Frequentemente,Sempre,Sim,Sim,"Renda Fixa, Renda variável, tesouro direto, criptomoeda",4,Sim,Sim,"Youtube, Cursos Online",Sim,2,Parcialmente,Sim,"Sim, bem","Controle de gastos, Investimentos, Planejamento financeiro, Dívidas, Juros",falta de tempo e dinheiro pra “praticar” pra poder aprender,Não,2,facilidades que os outros nao tem ,"Vídeos, Aplicativos, Cursos online, algo gameficado","Controlar gastos, Economizar, Planejar o mês, Entender finanças",Sim,Planejamento automático,"Sim, com uma pendência",Cartão de crédito,Nunca,Sim
06/05/2026 09:50:54,18 a 24 anos,Estudante,Não possuo renda fixa,Não,Não controlo,Não registro,Não tenho orçamento mensal,"Não possuo renda fixa, portanto não planejo",Sim,Sim,Tesouro Direto,3,Sim,Sim,"Youtube, Cursos Online",Não,,Sim,Sim,Parcialmente,"Investimentos, Dívidas",Falta de ir atrás de aprender,Não,,Simplicidade e eficácia ,"Vídeos, Cursos online",Planejar o mês,Sim,Gráficos e visualização de gastos,Não,Não possuo pendências,Não pago contas,Talvez
06/05/2026 10:20:23,18 a 24 anos,Estagiário,1 a 2 salários mínimos,Sim,Consciência ,Raramente,Raramente,Sempre,Sim,Sim,,3,Sim,Não,Youtube,Não,,Sim,Sim,Parcialmente,Investimentos,,Não,,,"Vídeos, Redes sociais",Entender finanças,Sim,Gráficos e visualização de gastos,Não,Não possuo pendências,Raramente,Talvez
06/05/2026 10:45:11,18 a 24 anos,Empregado (CLT),Até 1 salário mínimo,Não,Não controlo,Raramente,Raramente,Sempre,Estou construindo,Não,,3,Sim,Não,Youtube,Sim,2,Sim,Sim,Parcialmente,Controle de gastos,,Não,,,"Vídeos, Artigos, Redes sociais","Controlar gastos, Economizar",Talvez,Gráficos e visualização de gastos,"Sim, com uma pendência",Cartão de crédito,Nunca,Sim
06/05/2026 10:56:03,18 a 24 anos,Estudante,Não possuo renda fixa,Sim,Anotações (caderno/bloco de notas),Raramente,Às vezes,"Não possuo renda fixa, portanto não planejo",Não,Não,,3,Sim,Sim,"Youtube, Cursos Online",Não,,Sim,Sim,Muito pouco,"Investimentos, Dívidas, Juros","Ter que estudar sozinho, autodidata perdido",Não,,,"Vídeos, Aplicativos",Entender finanças,Sim,Conteúdos educativos,Não,Não possuo pendências,Não pago contas,Sim
06/05/2026 11:12:38,18 a 24 anos,Estagiário,1 a 2 salários mínimos,Sim,Aplicativos,Raramente,Raramente,Às vezes,Estou construindo,Sim,CDB ,4,Sim,Sim,Youtube,Não,,Parcialmente,Sim,"Sim, bem",Planejamento financeiro,Nada dificulta ,Não,,Fácil de usar,Vídeos,Economizar,Talvez,Gráficos e visualização de gastos,Não,Cartão de crédito,Raramente,Sim
06/05/2026 11:36:09,18 a 24 anos,Estudante,Não possuo renda fixa,Sim,mentalmente,Diariamente,Nunca,Raramente,Estou construindo,Não,,3,Sim,Não,Youtube,Não,,Não,Sim,Muito pouco,"Investimentos, Dívidas, Juros",,Não,,"deixar bem claro o quanto eu ja gastei para eu sentir ""medo"" de gastar mais.","Vídeos, Aplicativos, Cursos online","Planejar o mês, Entender finanças",Não sei o que é dashboard,Gráficos e visualização de gastos,Não,Não possuo pendências,Não pago contas,Sim
06/05/2026 11:48:14,18 a 24 anos,Estagiário,1 a 2 salários mínimos,Sim,Anotações (caderno/bloco de notas),Semanalmente,Às vezes,Às vezes,Sim,Sim,Renda fixa cdb,4,Talvez,Sim,"Youtube, Cursos Online",Sim,1,Sim,Sim,"Sim, bem",Planejamento financeiro,,Não,,,"Vídeos, Aplicativos",Círculo social,Talvez,Alertas de limite,Não,Não possuo pendências,Nunca,Não
06/05/2026 11:59:26,45 ou mais,Autônomo / Freelancer,Mais de 5 salários mínimos,Sim,Planilhas,Diariamente,Frequentemente,Raramente,Estou construindo,Não,,3,Sim,Não,Não busco informações,Não,,Parcialmente,Sim,Parcialmente,"Investimentos, Planejamento financeiro",tempo,Não,,,"Vídeos, Aplicativos, Cursos online","Controlar gastos, Economizar",Sim,Alertas de limite,Não,Não possuo pendências,Raramente,Sim
06/05/2026 15:58:13,Menos de 18 anos,Estudante,Não possuo renda fixa,Às vezes,Anotações (caderno/bloco de notas),Não registro,Não tenho orçamento mensal,Sempre,Estou construindo,Não,,2,Sim,Não,Não busco informações,Sim,1,Sim,Sim,Muito pouco,"Investimentos, Dívidas, Juros",,Não,,,"Vídeos, Artigos, Redes sociais",Entender finanças,Sim,Conteúdos educativos,Não,Não possuo pendências,Não pago contas,Talvez
06/05/2026 16:03:34,35 a 44 anos,militar,Mais de 5 salários mínimos,Sim,Planilhas,Semanalmente,Frequentemente,Às vezes,Estou construindo,Sim,renda fixa,3,Talvez,Não,Youtube,Não,,Sim,Sim,Parcialmente,Juros,falta de tempo,Não,,,Vídeos,"Controlar gastos, Economizar",Sim,Gráficos e visualização de gastos,Não,"Cartão de crédito, Financiamentos (carros, casa, etc.)",Às vezes,Talvez
06/05/2026 16:11:20,25 a 34 anos,Empregado (CLT),2 a 5 salários mínimos,Às vezes,Planilhas,Semanalmente,Frequentemente,Sempre,Não,Sim,Renda passiva - CDB ,3,Sim,Não,"Youtube, Redes Sociais",Não,,Sim,Sim,Muito pouco,"Controle de gastos, Investimentos, Planejamento financeiro, Juros",,Não,,"Melhor abordagem a seguir, e especialmente praticidade diária",Artigos,"Controlar gastos, Economizar, Planejar o mês, Entender finanças",Sim,Gráficos e visualização de gastos,"Sim, com mais de uma pendência","Cartão de crédito, Empréstimos pessoais, Contas básicas (águas, luz, internet)",Às vezes,Sim
06/05/2026 16:47:46,25 a 34 anos,Estudante,Mais de 5 salários mínimos,Sim,Planilhas,Semanalmente,Às vezes,Raramente,Sim,Não,,3,Sim,Não,"Youtube, Redes Sociais",Sim,2,Sim,Não,"Sim, bem",Planejamento financeiro,Vontade e necessidade ,Não,,Controle com dados customizados ao meu perfil ,Artigos,Controlar gastos,Sim,Gráficos e visualização de gastos,Não,Cartão de crédito,Nunca,Sim
06/05/2026 17:09:38,18 a 24 anos,Estudante,Mais de 5 salários mínimos,Sim,Aplicativos,Semanalmente,Raramente,Sempre,Sim,Não,,3,Sim,Sim,"Youtube, Redes Sociais, Cursos Online",Sim,3,Sim,Sim,Parcialmente,Investimentos,,Sim,2,,Aplicativos,Controlar gastos,Talvez,Conteúdos educativos,"Sim, com uma pendência",Empréstimos pessoais,Raramente,Sim
06/05/2026 17:56:40,18 a 24 anos,Estudante,Até 1 salário mínimo,Sim,Planilhas,Semanalmente,Às vezes,Sempre,Sim,Não,,3,Sim,Sim,Youtube,Não,2,Sim,Talvez,"Sim, bem","Investimentos, Planejamento financeiro, Juros",,Sim,2,,"Vídeos, Artigos","Planejar o mês, Entender finanças",Talvez,Alertas de limite,Prefiro não responder,"Cartão de crédito, Contas básicas (águas, luz, internet)",Às vezes,Talvez
06/05/2026 18:17:18,25 a 34 anos,Empregado (CLT),Mais de 5 salários mínimos,Sim,Planilhas,Semanalmente,Raramente,Sempre,Sim,Sim,Tezouro direto e imboliario,3,Sim,Não,"Youtube, Bancos, Redes Sociais, Cursos Online",Não,,Sim,Sim,"Sim, bem",Conhecimentos globais de investimento,Nao sei,Sim,2,"Praticidade, uma opcao bem grande pra adicionar gasto rapido, talvez até um widget na telaprincipal ",Artigos,Entender finanças,Sim,Gráficos e visualização de gastos,Não,Não possuo pendências,Nunca,Sim
06/05/2026 23:40:17,18 a 24 anos,Empregado (CLT),1 a 2 salários mínimos,Sim,eu uso os cofrinhos do meu banco,Não registro,Raramente,Sempre,Sim,Sim,Eu invisto no CDB,4,Sim,Sim,"Youtube, Bancos, Redes Sociais",Não,,Sim,Sim,Parcialmente,"Investimentos, imposto de renda",Eu me disponibilizar para ir atras de aprender,Não,,Explicações de como esse dinheiro vai aumentar e voltar para mim,"Vídeos, Aplicativos","Controlar gastos, Planejar o mês",Sim,Planejamento automático,"Sim, com uma pendência","Cartão de crédito, Empréstimos pessoais",Às vezes,Sim